title,release_year,score,number_of_votes,duration,main_genre
Kaminey,2009,7.4,17136,135,drama
"Girl, Interrupted",1999,7.3,180532,127,drama
Talaash,2012,7.3,41752,149,thriller
Starship Troopers,1997,7.3,288960,129,scifi
The Guernsey Literary & Potato Peel Pie Society,2018,7.3,44917,124,romance
Okja,2017,7.3,116305,122,drama
Ishqiya,2010,7.3,10415,115,comedy
The Edge of Seventeen,2016,7.3,120488,104,comedy
Pyaar Ka Punchnama 2,2015,7.3,14968,159,comedy
The Nightingale,2018,7.3,28196,136,thriller
Corpse Bride,2005,7.3,265023,77,fantasy
Memoirs of a Geisha,2005,7.3,146847,145,drama
El Camino: A Breaking Bad Movie,2019,7.3,216847,123,thriller
Official Secrets,2019,7.3,45200,112,thriller
Coach Carter,2005,7.3,143670,130,drama
The King,2019,7.3,119020,140,drama
Identity,2003,7.3,240433,90,thriller
The Best of Enemies,2019,7.3,16441,133,drama
The Professionals,1966,7.3,16168,117,western
Raat Akeli Hai,2020,7.3,17570,149,thriller
Little Women,1994,7.3,57621,115,drama
Badhaai Do,2022,7.3,15032,147,comedy
The Conjuring 2,2016,7.3,260693,134,thriller
The Fundamentals of Caring,2016,7.3,70542,97,drama
The Ballad of Buster Scruggs,2018,7.3,141528,132,western
Shot Caller,2017,7.3,83961,120,thriller
The Disaster Artist,2017,7.3,149604,104,comedy
Blue Jay,2016,7.3,17033,81,romance
Te3n,2016,7.3,12816,136,thriller
Monster,2003,7.3,149218,110,crime
No One Killed Jessica,2011,7.2,11665,136,crime
Toilet: A Love Story,2017,7.2,20675,155,comedy
Wish Dragon,2021,7.2,24712,99,fantasy
Mom,2017,7.2,10320,147,crime
The Professor and the Madman,2019,7.2,44418,124,thriller
Kabir Singh,2019,7.2,30949,172,drama
Dolemite Is My Name,2019,7.2,59836,118,comedy
In the Line of Fire,1993,7.2,101939,128,drama
The Witcher: Nightmare of the Wolf,2021,7.2,41508,83,fantasy
Ittefaq,2017,7.2,12095,107,thriller
The Tinder Swindler,2022,7.2,57606,114,crime
First They Killed My Father,2017,7.2,17871,136,drama
Don't Look Up,2021,7.2,498447,138,scifi
Wazir,2016,7.2,18681,103,thriller
Gabbar Is Back,2015,7.2,24676,130,drama
Fyre,2019,7.2,44715,98,documentary
Steve Jobs,2015,7.2,166288,122,drama
Shooter,2007,7.2,329417,124,thriller
The Butler,2013,7.2,114013,132,drama
The Siege of Jadotville,2016,7.2,38308,108,thriller
Closer,2004,7.2,215678,94,drama
Private Life,2018,7.2,19023,123,drama
American Murder: The Family Next Door,2020,7.2,26355,83,crime
St. Vincent,2014,7.2,102103,102,comedy
A River Runs Through It,1992,7.2,59086,123,drama
The Patriot,2000,7.2,270231,165,drama
Five Feet Apart,2019,7.2,61878,116,romance
Michael Clayton,2007,7.2,163878,120,thriller
The Edge of Democracy,2019,7.2,14605,121,documentary
Paddington,2014,7.2,111092,96,comedy
Wedding Association,2013,7.1,22186,106,comedy
Let Me In,2010,7.1,120208,116,horror
Raajneeti,2010,7.1,17555,167,drama
Body of Lies,2008,7.1,224896,128,drama
The Forgotten Battle,2020,7.1,26368,124,drama
Knock Down the House,2019,7.1,12418,86,documentary
The Call,2020,7.1,29450,112,thriller
Forgetting Sarah Marshall,2008,7.1,280121,111,comedy
The Railway Man,2013,7.1,39743,116,drama
The Great Hack,2019,7.1,22838,114,documentary
Paddleton,2019,7.1,13419,89,drama
Desperado,1995,7.1,183638,104,thriller
Gantz:O,2016,7.1,14501,95,animation
The Ring,2002,7.1,341888,111,horror
Margin Call,2011,7.1,125883,107,thriller
Copenhagen,2014,7.1,13135,98,drama
Black Mirror: Bandersnatch,2018,7.1,123377,90,scifi
Metallica: Through the Never,2013,7.1,17433,93,musical
Seven Years in Tibet,1997,7.1,141308,136,drama
Girl,2018,7.1,14046,105,drama
Kung Fu Panda 3,2016,7.1,152791,95,comedy
To All the Boys I've Loved Before,2018,7.1,101175,100,romance
Arthur Christmas,2011,7.1,58296,97,drama
Trailer Park Boys: The Movie,2006,7.1,12831,95,comedy
Karthik Calling Karthik,2010,7.1,11944,135,thriller
The White Tiger,2021,7.1,58190,125,drama
Shootout at Lokhandwala,2007,7.1,10139,145,crime
The Devil All the Time,2020,7.1,122321,138,drama
Tangerine,2015,7.1,31385,87,comedy
The Danish Girl,2015,7.1,180805,119,drama
The Unforgivable,2021,7.1,101975,112,drama
Phir Hera Pheri,2006,7.1,22505,155,comedy
War Dogs,2016,7.1,208185,114,crime
The Dig,2021,7.1,71915,112,drama
Blade,1998,7.1,267181,120,action
Luck by Chance,2009,7.1,10206,155,romance
Namastey London,2007,7.1,21745,131,comedy
Don,2006,7.1,36836,178,thriller
Don 2,2011,7.1,52338,139,action
Main Hoon Na,2004,7.0,35142,179,drama
Gangubai Kathiawadi,2022,7.0,44045,157,drama
Croupier,1998,7.0,21382,94,thriller
Pieces of a Woman,2020,7.0,47795,127,drama
Raw,2016,7.0,72460,98,horror
Loving,2016,7.0,34139,123,drama
Harold & Kumar Go to White Castle,2004,7.0,193053,88,comedy
Haseen Dillruba,2021,7.0,25771,135,drama
Rose Island,2020,7.0,20019,117,drama
Ferry,2021,7.0,10748,106,drama
Handsome Devil,2017,7.0,13708,95,drama
Torbaaz,2020,7.0,17828,132,drama
Ip Man 3,2015,7.0,54128,105,drama
The Foreigner,2017,7.0,112487,113,thriller
Mirai,2018,7.0,14983,98,fantasy
Gaga: Five Foot Two,2017,7.0,12825,100,musical
The Christmas Chronicles,2018,7.0,71182,104,fantasy
Sarkar,2018,7.0,18453,164,drama
Rambo,2008,7.0,228799,92,thriller
Dil Dhadakne Do,2015,7.0,17149,170,drama
Soul Surfer,2011,7.0,49101,112,drama
Happy Gilmore,1996,7.0,217534,92,comedy
Den of Thieves,2018,7.0,107701,140,thriller
The Zookeeper's Wife,2017,7.0,42808,122,drama
The Platform,2019,7.0,207877,94,horror
Public Enemies,2009,7.0,297525,143,crime
Ip Man 4: The Finale,2019,7.0,30694,107,drama
John Q,2002,7.0,131999,116,drama
Fashion,2008,6.9,12468,167,romance
Ma Rainey's Black Bottom,2020,6.9,50275,94,musical
Any Given Sunday,1999,6.9,118479,162,drama
The Long Riders,1980,6.9,11329,99,western
Get on Up,2014,6.9,24456,139,drama
Fukrey,2013,6.9,11656,137,romance
Chup Chup Ke,2006,6.9,10528,165,comedy
Then Came You,2019,6.9,12356,93,comedy
The Wolf's Call,2019,6.9,17236,115,thriller
Cloudy with a Chance of Meatballs,2009,6.9,226225,90,animation
Our Souls at Night,2017,6.9,13360,101,drama
Chandigarh Kare Aashiqui,2021,6.9,12303,117,crime
Welcome,2007,6.9,21799,160,romance
Everybody Knows,2018,6.9,34009,132,drama
The Meyerowitz Stories (New and Selected),2017,6.9,47971,112,drama
I Don't Feel at Home in This World Anymore,2017,6.9,55549,93,drama
The Highwaymen,2019,6.9,88714,132,thriller
Legend,2015,6.9,175273,132,thriller
AK vs AK,2020,6.9,14048,108,drama
My Girl,1991,6.9,79800,103,comedy
Amanda Knox,2016,6.9,23969,92,crime
2 States,2014,6.9,25344,149,comedy
The Power of the Dog,2021,6.9,158487,126,drama
The Half of It,2020,6.9,34959,104,comedy
Outlaw King,2018,6.9,69834,121,drama
Mary Kom,2014,6.9,10656,122,drama
Suffragette,2015,6.9,41529,106,drama
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82623,100,fantasy
Christine,2016,6.9,14977,115,drama
The Night Comes for Us,2018,6.9,25500,121,thriller
The Trip,2021,6.9,19706,113,comedy
The Dirt,2019,6.9,47603,108,drama
Top Gun,1986,6.9,329656,110,drama
Radhe Shyam,2022,6.9,21328,138,romance
Sorry to Bother You,2018,6.9,75653,111,fantasy
